201611020020102500000000000000069536                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000029531800000000000000000000000000000000000000000714479000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611020020102500000000000000069537                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000017823172000000000000000000000000000000000000000431206000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611230010102700000000000000005007                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000017507788000000000000000000000000000000000000000421536000000000000000000000000000000000000000084307000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611240030102500000000000000050857                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000011669947000000000000000000000000000000000000000282337000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611240030102500000000000000050856                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000005837840000000000000000000000000000000000000000141238000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611170010102700000000000000004954                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000016107781000000000000000000000000000000000000000387828000000000000000000000000000000000000000077566000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611180030102500000000000000050677                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000016107781000000000000000000000000000000000000000389704000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611080010102700000000000000004886                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000007586179000000000000000000000000000000000000000182653000000000000000000000000000000000000000036531000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611110030102500000000000000050541                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000007586179000000000000000000000000000000000000000183537000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612050010102700000000000000005088                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000014817197000000000000000000000000000000000000000356754000000000000000000000000000000000000000071350000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612010030102500000000000000051135                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000000710325000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612060030102500000000000000051256                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000006153225000000000000000000000000000000000000000148868000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612160030102500000000000000051413                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000000751027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701190010101000000000000000179137                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000004412264000000000000000000000000000000000000000106234000000000000000000000000000000000000000021247000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701250010101000000000000000179587                8000000000030501199253ACINDAR INDUSTRIA ARGENTINA DE000000005127148000000000000000000000000000000000000000123447000000000000000000000000000000000000000024689000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612020010001100000000000000072754                8000000000030639201232A.D.BARBIERI SA.              000000028757937000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701120030001100000000000000007460                8000000000030639201232A.D.BARBIERI SA.              000000001150318000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611170010000500000000000000002361                8000000000030586321389VICENTE ALBORS S.A.           000000005778626000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201610310010004300000000000000095308                8000000000033500908519CERAMICA ALBERDI SA           000000004843639000000000000000000000000000000000000000113346000000000000000000000000136015000000000022669000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201610310010004300000000000000095309                8000000000033500908519CERAMICA ALBERDI SA           000000004796143000000000000000000000000000000000000000112234000000000000000000000000134681000000000022447000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201610310010004300000000000000095311                8000000000033500908519CERAMICA ALBERDI SA           000000004811195000000000000000000000000000000000000000112586000000000000000000000000135104000000000022517000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010002100000000000000106496                8000000000030552816168DURLOCK S.A.                  000000006118640000000000281101000000000000000000000000000000000000000000000000000000168661000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701100030002100000000000000032200                8000000000030552816168DURLOCK S.A.                  000000000244745000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701050010002100000000000000107441                8000000000030552816168DURLOCK S.A.                  000000013535414000000000000000000000000000000000000000000000000000000000000000000000198402000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701050010002100000000000000107442                8000000000030552816168DURLOCK S.A.                  000000004113736000000000000000000000000000000000000000000000000000000000000000000000060299000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611290010007400000000000000047842                8000000000030503037226EMAPI S.A.                    000000001388177000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611290010007400000000000000047841                8000000000030503037226EMAPI S.A.                    000000001391608000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201611290010007400000000000000047861                8000000000030503037226EMAPI S.A.                    000000006116868000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612260010000400000000000000013021                8000000000030609285261FIJACIONES PY SA              000000001686924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010000400000000000000006529                8000000000030675407416FERRETERA DEL NORTE SRL       000000002726788000000000000000000000000000000000000000000000000000000000000000000000034488000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210030000400000000000000003931                8000000000030675407416FERRETERA DEL NORTE SRL       000000000582504000000000000000000000000000000000000000000000000000000000000000000000007367000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330906                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000862791000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330907                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000821957000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330908                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000001495345000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330909                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000942821000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330910                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000745452000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330911                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000561602000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330912                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000237674000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330913                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000102163000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330914                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000135925000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330915                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000121028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330916                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000101917000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612150010000900000000000000330917                8000000000030707297154FERRETERA GENERAL PAZ SRL     000000000067249000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701090010000300000000000000029429                8000000000033680021819GRAZIOLI S.R.L                000000001457176000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701190010000300000000000000006314                8000000000033712492339GRUPO H Y S S.R.L             000000000346600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612140010002900000000000000009026                8000000000030500130128HORIZONTES S.A                000000000059668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010002900000000000000009138                8000000000030500130128HORIZONTES S.A                000000000179012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612310010002900000000000000009238                8000000000030500130128HORIZONTES S.A                000000000218790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612210010000200000000000000000651                8000000000030711964556INFLEXICO S.R.L               000000002945866000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701090010050100000000000000140748                8000000000030500530851LOMA NEGRA C.I.A.S.A          000000024360059000000000000000000000000000000000000000589356000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701100030050100000000000000061479                8000000000030500530851LOMA NEGRA C.I.A.S.A          000000012076991000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612310010050100000000000000140452                8000000000030500530851LOMA NEGRA C.I.A.S.A          000000101163980000000000000000000000000000000000000002447520000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201612310010050100000000000000140453                8000000000030500530851LOMA NEGRA C.I.A.S.A          000000007753663000000000000000000000000000000000000000187589000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
201701160010050100000000000000141071                8000000000030500530851LOMA NEGRA C.I.A.S.A          000000049044204000000000000000000000000000000000000001186553000000000000000000000000000000000000000000000000000000000000PES00010000001000000000000000000000000000000000000000000                              000000000000000
